name,station,sensor,lat,lon,date_time,salinity,bad_station
"Mayport (Bar Pilots Dock), FL",8720218,SALINITY,30.3967,-81.43,2015-11-14T12:00:00Z,14.51,False
"Dames Point, FL",8720219,SALINITY,30.3867,-81.5583,2015-11-14T12:00:00Z,5.57,False
"Jacksonville University, FL",8720245,SALINITY,30.3541,-81.6118,2015-11-14T12:00:00Z,2.52,False
"I-295 Bridge, St Johns River, FL",8720357,SALINITY,30.1917,-81.6917,2015-11-14T12:00:00Z,0.46,False
"Red Bay Point, St Johns River, FL",8720503,SALINITY,29.9783,-81.6283,2015-11-14T12:00:00Z,0.41,False
"Racy Point, St Johns River, FL",8720625,SALINITY,29.8017,-81.5483,2015-11-14T12:00:00Z,0.44,False
Tolomato River station,fldep.tolomatoriver.,NA,29.9947223663,-81.3295593262,2015-00-14T12:00:00Z,28.8768253326,False
Shell Point station,sccf.shellpoint.wq,NA,26.5225639343,-82.0079879761,2015-00-14T12:00:00Z,28.6615829468,False
Gulf of Mexico station,sccf.gulfofmexico.wq,NA,26.4430294037,-81.9711914062,2015-00-14T12:00:00Z,34.4909057617,False
"CAROCOOPS CAP2, Capers Island Nearshore, SC",carocoops.cap2.buoy,NA,32.7999992371,-79.6200027466,2015-08-14T12:08:00Z,29.8107738495,False
St Lucie Inlet station,fldep.stlucieinlet.,NA,27.1652774811,-80.1627807617,2015-00-14T12:00:00Z,34.2465896606,False
Redfish Pass station,sccf.redfishpass.wq,NA,26.5615692139,-82.1754379272,2015-00-14T12:00:00Z,33.1878242493,False
"CORMP ILM3, Wrightsville Beach Offshore, NC",cormp.ilm3.buoy,NA,33.9878005981,-77.3635025024,2015-08-14T12:08:00Z,36.1165962219,False
"CAROCOOPS FRP2, Fripp Nearshore, SC",carocoops.frp2.buoy,NA,32.2700004578,-80.4000015259,2015-00-14T12:00:00Z,31.8796081543,False
usf_c10_imet,usf.c10.imet,NA,27.1730003357,-82.9240036011,2015-35-14T13:35:00Z,-257.835998535,False
"CAROCOOPS SUN2, Sunset Nearshore, NC",carocoops.sun2.buoy,NA,33.8300018311,-78.4800033569,2015-08-14T12:08:00Z,32.1830940247,False
Bing's Landing station,fldep.bingslanding.,NA,29.6154174805,-81.2049179077,2015-00-14T12:00:00Z,32.1421585083,False
Fort Myers station,sccf.fortmyers.wq,NA,26.6493396759,-81.8809661865,2015-00-14T12:00:00Z,13.0090579987,False
"CORMP ILM2, Wrightsville Beach Nearshore, NC",cormp.ilm2.buoy,NA,34.1333007812,-77.7166976929,2015-53-14T11:53:00Z,33.7150878906,False
